Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
10,gence measures how well a distribution p is fitted,' by',0.031662,4.981,4,' to',0.571657,' with',0.109561,'.',0.044219,' by',0.031662,' in',0.027997,' for',0.022653,' into',0.013232,' over',0.012452,"','",0.012383,' within',0.012323
11,ce measures how well a distribution p is fitted by,' a',0.059333,4.075,2,' the',0.202072,' a',0.059333,' its',0.047363,' using',0.023095,' comparing',0.016488,' an',0.014293,' two',0.011218,' p',0.011165,' P',0.008668,' adding',0.007766
12, measures how well a distribution p is fitted by a,' model',0.007010,7.156,not_in_top10,' given',0.105259,' linear',0.035002,' set',0.021177,' single',0.018344,' distribution',0.016199,' particular',0.014866,' factor',0.014773,' simple',0.014046,' number',0.013549,' function',0.013469
13,res how well a distribution p is fitted by a model,' distribution',0.001619,9.270,not_in_top10,' of',0.190778,'.',0.186437,"','",0.046181,' with',0.043872,' (',0.030745,"""'s""",0.024606,' that',0.024094,'-',0.016974,' and',0.015925,' in',0.015608
14,a distribution p is fitted by a model distribution,' q',0.001309,9.577,not_in_top10,'.',0.262289,"','",0.076065,' (',0.051228,' of',0.042730,' p',0.042246,' with',0.039732,' and',0.032682,' P',0.031332,' over',0.017968,' in',0.014646
15,distribution p is fitted by a model distribution q,'.',0.260913,1.938,1,'.',0.260913,"','",0.053727,' (',0.052377,' .',0.044447,' and',0.032940,' with',0.019604,' =',0.019191,'(',0.017036,"' ,'",0.014999,' in',0.012591
16,istribution p is fitted by a model distribution q.,'\n',0.053797,4.216,5,' The',0.168080,' In',0.074912,' We',0.069146,' This',0.060209,'\n',0.053797,' For',0.048715,' A',0.020107,' It',0.016282,' Here',0.016063,' To',0.015616
17,"stribution p is fitted by a model distribution q.
",'\n',0.995192,0.007,1,'\n',0.995192,'The',0.000699,'In',0.000241,'A',0.000137,'This',0.000131,'For',0.000092,'We',0.000092,'It',0.000087,'If',0.000080,'One',0.000079
18,"tribution p is fitted by a model distribution q.

",'Here',0.007663,7.028,not_in_top10,'The',0.128842,'We',0.051209,'In',0.045042,'To',0.033178,'For',0.031653,'A',0.028516,'This',0.027028,'Figure',0.014564,'P',0.012751,'Using',0.012679
19,"ution p is fitted by a model distribution q.

Here","""'s""",0.035598,4.812,6,"','",0.274340,' we',0.252442,' is',0.125370,' are',0.047605,' the',0.046347,"""'s""",0.035598,' I',0.028190,' p',0.022458,' P',0.010164,' you',0.007264
20,"ion p is fitted by a model distribution q.

Here's",' the',0.164066,2.608,3,' a',0.312786,' an',0.212123,' the',0.164066,' how',0.099821,' what',0.079719,' another',0.020713,' where',0.014087,' one',0.013369,' my',0.012190,' some',0.010297
21,"p is fitted by a model distribution q.

Here's the",' KL',0.000027,15.185,not_in_top10,' result',0.027721,' first',0.026454,' code',0.023272,' data',0.021201,' model',0.019104,' graph',0.018303,' full',0.017482,' same',0.015785,' main',0.014294,' plot',0.013913
22,"s fitted by a model distribution q.

Here's the KL",' divergence',0.340367,1.555,1,' divergence',0.340367,' distribution',0.035833,'-',0.025875,'F',0.024003,' model',0.015359,' curve',0.012435,' diagram',0.011674,' function',0.009553,' for',0.009439,'L',0.008151
23," a model distribution q.

Here's the KL divergence",' formula',0.001788,9.127,not_in_top10,' of',0.086711,' for',0.078403,':',0.047067,' in',0.045950,' model',0.035845,"','",0.028082,' (',0.025301,' plot',0.023149,' diagram',0.023068,'.',0.020413
24," distribution q.

Here's the KL divergence formula",' for',0.206027,2.279,1,' for',0.206027,':',0.178915,'.',0.102463,"','",0.073660,' (',0.046544,' in',0.035205,' that',0.028790,' we',0.024531,' from',0.023351,' with',0.023078
25,"tribution q.

Here's the KL divergence formula for",' two',0.010872,6.523,9,' the',0.184650,' a',0.183415,' p',0.040644,' an',0.024220,' P',0.021045,' each',0.014699,' this',0.012777,' k',0.011796,' two',0.010872,' our',0.009866
26,"ution q.

Here's the KL divergence formula for two",' discrete',0.005710,7.452,not_in_top10,' distributions',0.097577,' different',0.041384,' models',0.019159,' sets',0.018637,' distribution',0.010284,'-',0.009560,' distinct',0.008325,' data',0.008046,' groups',0.008038,' independent',0.007579
27,"
Here's the KL divergence formula for two discrete",' distributions',0.114322,3.129,1,' distributions',0.114322,' models',0.017968,' variables',0.015463,' log',0.015180,' sets',0.013782,' groups',0.011778,' values',0.011538,' populations',0.011355,' distribution',0.010386,' data',0.010146
28, divergence formula for two discrete distributions,' p',0.128337,2.962,2,':',0.173990,' p',0.128337,' of',0.102523,'.',0.099043,"','",0.078637,' (',0.057515,' q',0.045484,' P',0.028040,' with',0.023620,' in',0.017373
29,ivergence formula for two discrete distributions p,'_',0.018364,5.767,8,' and',0.472221,"','",0.043384,'.',0.035797,'(',0.032047,':',0.032023,' (',0.029483,' =',0.029453,'_',0.018364,'1',0.016329,"' ,'",0.014284
30,vergence formula for two discrete distributions p_,'1',0.272549,1.875,1,'1',0.272549,'i',0.140442,'0',0.050292,'p',0.040154,'t',0.037461,'x',0.025978,'k',0.024614,'a',0.016945,'q',0.016434,'2',0.014785
31,ergence formula for two discrete distributions p_1,"','",0.068220,3.874,2,' and',0.529119,"','",0.068220,' =',0.058731,'_',0.048751,"' ,'",0.041423,' +',0.021993,'.',0.020758,'=',0.016323,' &',0.016145,' (',0.012640
32,"rgence formula for two discrete distributions p_1,",' ...',0.000900,10.118,not_in_top10,' p',0.530829,' q',0.358454,'p',0.043153,'q',0.007693,' k',0.006120,' where',0.003637,' P',0.002469,' which',0.002091,' pp',0.001833,' and',0.001650
33,"ce formula for two discrete distributions p_1, ...","','",0.469273,1.091,1,"','",0.469273,"' ,'",0.059379,' p',0.051319,':',0.048097,' and',0.039517,'_',0.034689,'.',0.030298,'p',0.024812,' q',0.017206,'where',0.013206
34,"e formula for two discrete distributions p_1, ...,",' p',0.327775,1.609,1,' p',0.327775,' q',0.298716,' ...',0.046829,' where',0.045371,'p',0.030224,' and',0.021340,' which',0.013405,' k',0.013070,'q',0.012248,' (',0.005377
35,"formula for two discrete distributions p_1, ..., p",'_',0.927582,0.108,1,'_',0.927582,'_{',0.006961,'(',0.004917,' =',0.004337,'.',0.003677,'2',0.003129,'_.',0.003055,'1',0.002687,"','",0.002475,':',0.001934
36,"ormula for two discrete distributions p_1, ..., p_",'n',0.164439,2.604,2,'2',0.582244,'n',0.164439,'b',0.023192,'0',0.019725,'k',0.015047,'t',0.013857,'1',0.013148,'q',0.011675,'f',0.011166,'i',0.007578
37,"rmula for two discrete distributions p_1, ..., p_n",' and',0.068676,3.864,4,"','",0.217048,'.',0.198971,':',0.127849,' and',0.068676,' (',0.031617,'_',0.023993,' :',0.018111,"' ,'",0.017749,' in',0.015962,' .',0.015591
38,"a for two discrete distributions p_1, ..., p_n and",' q',0.242442,2.044,2,' p',0.508443,' q',0.242442,' ...',0.059768,' k',0.023494,' P',0.015403,' the',0.010066,' a',0.005369,' t',0.005050,' (',0.004906,' n',0.003290
39,"for two discrete distributions p_1, ..., p_n and q",'_',0.817482,0.291,1,'_',0.817482,'.',0.045516,':',0.024850,' =',0.008215,' .',0.007426,'=',0.006260,"','",0.006068,'_{',0.005571,'(',0.005412,' :',0.003992
40,"or two discrete distributions p_1, ..., p_n and q_",'1',0.427558,1.226,1,'1',0.427558,'n',0.282609,'i',0.056511,'0',0.046341,'k',0.029370,'p',0.027108,'t',0.014457,'2',0.013579,'N',0.008422,'q',0.006810
41,"r two discrete distributions p_1, ..., p_n and q_1","','",0.156068,2.680,3,'.',0.238095,':',0.232904,"','",0.156068,' .',0.028671,' (',0.026658,"' ,'",0.022503,' :',0.019579,' in',0.017762,' and',0.016473,' where',0.016223
42," two discrete distributions p_1, ..., p_n and q_1,",' ...',0.048898,4.354,6,' where',0.136994,' and',0.086961,' q',0.082594,' which',0.064196,' with',0.051910,' ...',0.048898,' respectively',0.028400,' p',0.026882,' as',0.025613,'\n',0.023515
43," discrete distributions p_1, ..., p_n and q_1, ...","','",0.624031,0.680,1,"','",0.624031,':',0.101815,'.',0.072097,' and',0.028235,' q',0.013514,"' ,'",0.009864,' p',0.009375,'q',0.007596,' (',0.007528,'\n',0.007013
44,"discrete distributions p_1, ..., p_n and q_1, ...,",' q',0.717456,0.479,1,' q',0.717456,' p',0.120756,' and',0.017893,' where',0.011627,' which',0.007788,' respectively',0.007782,' ...',0.004467,' Q',0.004428,' k',0.004244,' for',0.003789
45,"screte distributions p_1, ..., p_n and q_1, ..., q",'_',0.954137,0.068,1,'_',0.954137,'.',0.006201,':',0.004966,'_{',0.003478,"','",0.002174,'-',0.002000,' =',0.001707,'=',0.001620,"' ,'",0.001250,'(',0.001174
46,"crete distributions p_1, ..., p_n and q_1, ..., q_",'n',0.891359,0.166,1,'n',0.891359,'1',0.039363,'2',0.022699,'N',0.005474,'p',0.004967,'0',0.004569,'i',0.003493,'k',0.002124,'t',0.001884,'m',0.001408
47,"rete distributions p_1, ..., p_n and q_1, ..., q_n",':',0.126051,2.988,2,'.',0.204173,':',0.126051,"','",0.113075,' and',0.065076,' .',0.033048,' of',0.031664,"' ,'",0.026610,' in',0.022243,' (',0.021733,' :',0.020631
48,"ete distributions p_1, ..., p_n and q_1, ..., q_n:",'\n',0.860620,0.217,1,'\n',0.860620,' (',0.018127,'\n\n',0.012521,' q',0.007615,'<|endoftext|>',0.007602,' p',0.005542,' The',0.004716,' P',0.003890,' ...',0.003503,' A',0.002414
49,"te distributions p_1, ..., p_n and q_1, ..., q_n:
",'\n',0.999787,0.000,1,'\n',0.999787,'.',0.000051,' (',0.000035,"','",0.000021,':',0.000011,' and',0.000009,'\n\n',0.000007,'-',0.000007,'...',0.000006,"' ""'",0.000004
50,"e distributions p_1, ..., p_n and q_1, ..., q_n:

",'D',0.002274,8.781,not_in_top10,'where',0.065957,'The',0.064116,'(',0.035902,'We',0.027599,'Q',0.027423,'P',0.026803,'For',0.023800,'K',0.021070,'q',0.019027,'L',0.018384
51," distributions p_1, ..., p_n and q_1, ..., q_n:

D",'(',0.004685,7.738,not_in_top10,'eg',0.201773,'ivid',0.152587,'etermin',0.074131,'iver',0.041790,'eter',0.026371,'ivers',0.024020,'iversity',0.021390,'etermination',0.013111,'ependent',0.011526,'irection',0.010316
52,"distributions p_1, ..., p_n and q_1, ..., q_n:

D(",'p',0.324963,1.622,1,'p',0.324963,'q',0.076206,'P',0.046849,'x',0.034105,'1',0.030913,'n',0.030909,' p',0.025112,'Q',0.023694,'d',0.020447,'k',0.019520
53,"istributions p_1, ..., p_n and q_1, ..., q_n:

D(p","','",0.067121,3.897,2,'_',0.761690,"','",0.067121,')',0.043267,' =',0.013107,'1',0.012958,'_{',0.006589,'(',0.006411,'=',0.003757,'-',0.003547,' _',0.003127
54,"stributions p_1, ..., p_n and q_1, ..., q_n:

D(p,",'q',0.085483,3.548,3,' q',0.399075,' p',0.101735,'q',0.085483,' n',0.056127,'n',0.054359,'p',0.053164,' ...',0.025567,' k',0.019933,'1',0.010230,'k',0.006031
55,"tributions p_1, ..., p_n and q_1, ..., q_n:

D(p,q",')',0.488809,1.033,1,')',0.488809,'_',0.227180,"','",0.098215,')=',0.021229,"'),'",0.016908,'-',0.011330,'):',0.011202,').',0.010513,')-',0.005540,'1',0.005524
56,"ributions p_1, ..., p_n and q_1, ..., q_n:

D(p,q)",' =',0.737629,0.439,1,' =',0.737629,'\n',0.020676,' is',0.013425,' :=',0.009447,' p',0.008620,' -',0.007025,' �',0.005704,' for',0.004660,' �',0.004637,' |',0.004578
57,"butions p_1, ..., p_n and q_1, ..., q_n:

D(p,q) =",' �',0.009732,6.683,not_in_top10,' (',0.098168,' p',0.087128,' D',0.046728,' d',0.043119,' P',0.038703,' KL',0.037857,'\n',0.033374,' k',0.023518,' \\',0.021081,' 1',0.020343
58,"tions p_1, ..., p_n and q_1, ..., q_n:

D(p,q) = �",'�',0.033890,4.883,7,'�',0.237841,'�',0.136064,'�',0.121872,'�',0.117061,'�',0.079237,'�',0.052361,'�',0.033890,'�',0.028257,'�',0.021657,'�',0.020398
59,"tions p_1, ..., p_n and q_1, ..., q_n:

D(p,q) = Σ",' p',0.069085,3.855,2,'(',0.326884,' p',0.069085,'p',0.031427,' q',0.030648,' (',0.026783,'_',0.022951,'/',0.020094,'-',0.016560,'2',0.012245,'q',0.011539
60,"ons p_1, ..., p_n and q_1, ..., q_n:

D(p,q) = Σ p",'_',0.402387,1.313,1,'_',0.402387,'(',0.109047,' =',0.034940,' (',0.033154,'_{',0.023120,' -',0.018265,"','",0.016672,' +',0.016617,' p',0.015116,' *',0.012770
61,"ns p_1, ..., p_n and q_1, ..., q_n:

D(p,q) = Σ p_",'i',0.019243,5.700,5,'1',0.608142,'n',0.219423,'2',0.022745,'p',0.021533,'i',0.019243,'0',0.018580,'N',0.004991,'k',0.004912,'q',0.003668,'v',0.003033
62,"s p_1, ..., p_n and q_1, ..., q_n:

D(p,q) = Σ p_i",' log',0.001043,9.905,not_in_top10,'(',0.099443,'_',0.080966,"','",0.073491,' q',0.063152,' =',0.045686,' p',0.037644,' +',0.034393,' -',0.028300,' (',0.027574,' *',0.026505
63,"1, ..., p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log",'�',0.000087,13.496,not_in_top10,' p',0.220000,'(',0.186715,' (',0.097102,' n',0.050272,' 2',0.037434,'2',0.027712,' k',0.020369,' P',0.014654,' q',0.012585,' i',0.011483
64,", ..., p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log�",'�',0.053324,4.229,5,'�',0.358645,'�',0.192675,'�',0.147968,'�',0.098331,'�',0.053324,'�',0.041600,'�',0.025456,'�',0.013556,'�',0.008606,'�',0.005190
65,", ..., p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log�",'�',0.743386,0.428,1,'�',0.743386,'�',0.116531,'�',0.016543,'�',0.015989,'�',0.013615,'�',0.012843,'�',0.011265,'�',0.008899,'�',0.005429,'�',0.003772
66,", ..., p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂",'(',0.032453,4.946,4,' p',0.269814,' q',0.180025,' (',0.054137,'(',0.032453,' �',0.024708,' k',0.023158,' n',0.019655,'p',0.017966,' �',0.017279,' log',0.015448
67," ..., p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(",'p',0.457323,1.129,1,'p',0.457323,'q',0.160515,'n',0.023888,'1',0.022403,'P',0.015767,'x',0.015663,'log',0.015442,'k',0.012717,'d',0.012129,' p',0.011376
68,"..., p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p",'_',0.616372,0.698,1,'_',0.616372,"','",0.213903,')',0.046687,'_{',0.011057,'-',0.006451,'(',0.006324,'/',0.005852,' +',0.004322,'^',0.003985,' -',0.003643
69,".., p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_",'i',0.619395,0.691,1,'i',0.619395,'1',0.161109,'n',0.113162,'p',0.014087,'2',0.013559,'k',0.007879,'0',0.007680,'j',0.007166,'q',0.002746,'t',0.002509
70,"., p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_i",'/',0.016663,5.907,not_in_top10,')',0.271911,"','",0.205687,' *',0.055507,' +',0.038181,' log',0.030818,'*',0.027115,' -',0.026700,"'),'",0.022746,'^',0.019477,'+',0.017496
71,", p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_i/",'q',0.337540,1.567,1,'q',0.337540,'p',0.141244,'2',0.139898,'1',0.030378,'log',0.027441,'n',0.022435,'k',0.016818,'�',0.013397,'sq',0.011427,'3',0.011241
72," p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_i/q",'_',0.265144,1.915,2,')',0.479595,'_',0.265144,"','",0.046766,"'),'",0.021700,').',0.015334,'-',0.011573,'/',0.009777,'_{',0.008292,'^',0.007392,')(',0.006773
73,"p_n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_i/q_",'i',0.539391,0.891,1,'i',0.539391,'1',0.280758,'n',0.142676,'2',0.007342,'0',0.006025,'p',0.005289,'k',0.001407,'j',0.001241,'t',0.001143,'a',0.000822
74,"_n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_i/q_i",')',0.593971,0.752,1,')',0.593971,"','",0.108151,"'),'",0.053484,')/',0.025193,' +',0.014430,'/',0.013805,');',0.011065,')(',0.010392,').',0.009736,' )',0.009511
75,"n and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_i/q_i)",'\n',0.111804,3.161,1,'\n',0.111804,' p',0.060807,' =',0.059724,' q',0.044366,' log',0.041272,' +',0.039766,' where',0.033745,' *',0.032066,' /',0.026819,' -',0.026665
76," and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_i/q_i)
",'\n',0.999592,0.001,1,'\n',0.999592,'.',0.000116,"','",0.000059,' (',0.000058,' and',0.000019,':',0.000017,'-',0.000013,'/',0.000005,'...',0.000005,'\n\n',0.000005
77,"and q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_i/q_i)

",'You',0.002567,8.606,not_in_top10,'where',0.438805,'The',0.043243,'D',0.031607,'Where',0.024567,'(',0.023092,'This',0.022234,'So',0.019903,'Here',0.018585,'For',0.014702,'We',0.014207
78," q_1, ..., q_n:

D(p,q) = Σ p_i log₂(p_i/q_i)

You",' can',0.649404,0.623,1,' can',0.649404,"""'ll""",0.068981,' might',0.058563,' may',0.030630,' could',0.025053,' should',0.019432,' see',0.015646,' get',0.015528,' will',0.012623,"""'d""",0.009749
79,", ..., q_n:

D(p,q) = Σ p_i log₂(p_i/q_i)

You can",' think',0.013171,6.246,8,' see',0.435106,' also',0.060997,' find',0.057940,' use',0.047681,' read',0.037176,' get',0.027755,' check',0.017293,' think',0.013171,' calculate',0.011005,' now',0.010284
80," q_n:

D(p,q) = Σ p_i log₂(p_i/q_i)

You can think",' of',0.968014,0.047,1,' of',0.968014,' about',0.022201,' that',0.000761,' this',0.000439,"','",0.000406,' in',0.000377,' a',0.000366,' the',0.000354,' here',0.000343,' more',0.000278
81,"n:

D(p,q) = Σ p_i log₂(p_i/q_i)

You can think of",' KL',0.019095,5.711,7,' the',0.275450,' this',0.199003,' it',0.092539,' p',0.060195,' these',0.044087,' a',0.038266,' KL',0.019095,' q',0.019072,' P',0.018964,' k',0.013264
82,"
D(p,q) = Σ p_i log₂(p_i/q_i)

You can think of KL",' divergence',0.616354,0.698,1,' divergence',0.616354,' as',0.185797,' distributions',0.007991,'-',0.005550,"""'s""",0.004194,' and',0.003976,'s',0.003919,' in',0.003670,' diver',0.003570,' (',0.003512
83," p_i log₂(p_i/q_i)

You can think of KL divergence",' like',0.002423,8.689,not_in_top10,' as',0.694437,' in',0.021148,' measures',0.009410,' equations',0.009221,' terms',0.008401,' (',0.006956,' times',0.006474,' functions',0.006416,' models',0.005723,' rates',0.004567
84,"log₂(p_i/q_i)

You can think of KL divergence like",' a',0.233819,2.097,2,' this',0.261963,' a',0.233819,' the',0.150175,' an',0.034692,' any',0.016581,' having',0.011283,':',0.010486,' that',0.010352,' so',0.005224,' if',0.005168
85,"g₂(p_i/q_i)

You can think of KL divergence like a",' won',0.000001,19.556,not_in_top10,' function',0.049591,' log',0.021205,' linear',0.015404,' distribution',0.012747,"' ""'",0.012399,' vector',0.011900,' curve',0.010295,' pair',0.009015,' set',0.009007,' po',0.008458
86,"_i/q_i)

You can think of KL divergence like a won",'ky',0.725407,0.463,1,'ky',0.725407,'k',0.172841,'ka',0.043180,'ker',0.012388,'ks',0.012265,'kish',0.008736,'ke',0.006614,'ki',0.003754,'-',0.001388,'king',0.001037
87,"/q_i)

You can think of KL divergence like a wonky",' distance',0.000651,10.585,not_in_top10,' curve',0.038571,' log',0.014925,' graph',0.014585,' distribution',0.011076,'-',0.010635,' equation',0.009652,"','",0.009640,' linear',0.009206,' function',0.007859,' dot',0.007036
88,u can think of KL divergence like a wonky distance,' measure',0.011994,6.382,not_in_top10,' between',0.109388,'.',0.089433,' function',0.065513,"','",0.064595,' from',0.032326,' (',0.025619,' distribution',0.023392,' matrix',0.023385,' in',0.021578,' formula',0.020362
89,ink of KL divergence like a wonky distance measure,' between',0.008510,6.877,not_in_top10,'.',0.244383,"','",0.163727,' for',0.068886,' that',0.065669,':',0.044333,' of',0.042301,' where',0.039265,' (',0.035590,' with',0.028868,' in',0.023682
90,L divergence like a wonky distance measure between,' two',0.465317,1.104,1,' two',0.465317,' a',0.130593,' the',0.085032,' an',0.017751,' one',0.014657,' p',0.013608,' points',0.008542,' different',0.008454,' discrete',0.007534,' distributions',0.006677
91,vergence like a wonky distance measure between two,' distributions',0.037586,4.734,3,' points',0.107342,' discrete',0.098261,' distributions',0.037586,' objects',0.024773,' values',0.014678,' sets',0.013638,' variables',0.013066,' vectors',0.011481,' different',0.011164,' parts',0.011009
92,a wonky distance measure between two distributions,'.',0.279010,1.842,1,'.',0.279010,"','",0.138901,' p',0.127358,':',0.072463,' (',0.046800,' of',0.046423,' that',0.020369,' q',0.019358,' and',0.016211,' with',0.012353
93, wonky distance measure between two distributions.,' But',0.030183,5.050,9,' The',0.093712,' If',0.075390,' For',0.071913,'\n',0.060916,' It',0.060294,' In',0.058156,' You',0.042336,' A',0.037596,' But',0.030183,' When',0.022925
94,ky distance measure between two distributions. But,' a',0.013028,6.262,not_in_top10,' it',0.107577,' the',0.052467,' if',0.048699,' in',0.046195,' you',0.045199,' this',0.038305,' let',0.035267,' KL',0.034690,' what',0.033865,' for',0.031442
95, distance measure between two distributions. But a,' better',0.014766,6.082,9,' KL',0.138928,' won',0.047805,' win',0.029995,' distance',0.026094,' more',0.020556,' k',0.017153,' given',0.017023,' loss',0.015640,' better',0.014766,' bit',0.013536
96,ce measure between two distributions. But a better,' intuition',0.000072,13.761,not_in_top10,' way',0.447932,' term',0.146210,' definition',0.047533,' word',0.042372,' description',0.026706,' approximation',0.016521,' analogy',0.014613,' idea',0.013933,' measure',0.013776,' approach',0.013258
97, between two distributions. But a better intuition,' goes',0.001382,9.499,not_in_top10,' is',0.532517,' for',0.141274,' would',0.085497,' might',0.031508,' of',0.023608,' about',0.019365,' to',0.012080,' than',0.009894,"','",0.009724,' can',0.007691
98,een two distributions. But a better intuition goes,' like',0.351072,1.510,1,' like',0.351072,' something',0.148068,' back',0.120169,' to',0.086364,' the',0.029886,' in',0.027579,' a',0.023475,' beyond',0.022828,' one',0.014375,' much',0.011238
99,wo distributions. But a better intuition goes like,' this',0.861601,0.215,1,' this',0.861601,' the',0.032553,':',0.021890,' so',0.017663,"','",0.008807,' a',0.007035,'\n',0.005861,' that',0.002441,' these',0.001716,' (',0.001155
100,stributions. But a better intuition goes like this,':',0.851955,0.231,1,':',0.851955,'.',0.081418,"','",0.014966,' (',0.007942,'…',0.007917,'\n',0.007031,'...',0.003289,';',0.003174,' —',0.002032,' –',0.001725
101,tributions. But a better intuition goes like this:,' When',0.006107,7.355,not_in_top10,'\n',0.444612,' if',0.072907,' the',0.032294,' If',0.031123,' a',0.030152,' when',0.020876,' you',0.015994,' A',0.011507,' it',0.011448,' The',0.011249
102,tions. But a better intuition goes like this: When,' you',0.317987,1.653,1,' you',0.317987,' a',0.124611,' we',0.085620,' the',0.072170,' two',0.055115,' p',0.032707,' one',0.030283,' there',0.011592,' q',0.011429,' k',0.010241
103,s. But a better intuition goes like this: When you,' keep',0.001702,9.199,not_in_top10,' have',0.072928,' look',0.059221,"""'re""",0.048449,' take',0.039175,' measure',0.039060,' get',0.032332,' want',0.030819,' are',0.023098,' see',0.022508,' use',0.020022
104,t a better intuition goes like this: When you keep,' sampling',0.000295,11.725,not_in_top10,' the',0.113203,' a',0.111990,' two',0.060678,' track',0.058681,' p',0.056045,' moving',0.036054,' an',0.023051,' your',0.020549,' going',0.018517,' one',0.013846
105,r intuition goes like this: When you keep sampling,' from',0.050701,4.302,3,' a',0.153209,' the',0.136942,' from',0.050701,"','",0.045450,' p',0.036224,' at',0.024720,' one',0.016000,' an',0.015882,' for',0.015080,' and',0.013654
106,uition goes like this: When you keep sampling from,' the',0.167776,2.575,3,' one',0.204079,' a',0.183115,' the',0.167776,' p',0.061703,' two',0.037972,' different',0.023195,' an',0.015751,' 1',0.013097,' each',0.010286,' q',0.007457
107,on goes like this: When you keep sampling from the,' true',0.000564,10.793,not_in_top10,' same',0.167319,' top',0.074846,' right',0.067554,' left',0.059287,' first',0.037505,' center',0.022128,' bottom',0.018903,' mean',0.017680,' point',0.013633,' distribution',0.013137
108,es like this: When you keep sampling from the true,' distribution',0.156224,2.678,1,' distribution',0.156224,' end',0.044154,'-',0.035707,' mean',0.020706,' p',0.017243,' positive',0.016254,' direction',0.015877,' value',0.015424,' and',0.014561,"','",0.014176
109, When you keep sampling from the true distribution,' p',0.270979,1.884,1,' p',0.270979,"','",0.270564,' of',0.065606,' (',0.041717,' to',0.032614,' and',0.025002,' P',0.018162,' you',0.018044,' q',0.016465,' for',0.011902
