Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
36,", and to assume among the powers of the earth, the",' separate',0.001320,9.565,not_in_top10,' power',0.033128,' same',0.030043,' form',0.027359,' political',0.020562,' position',0.019831,' right',0.016903,' dominion',0.015570,' control',0.014237,' character',0.014148,' duties',0.013418
37,"assume among the powers of the earth, the separate",' and',0.152100,2.717,1,' and',0.152100,' character',0.051407,"','",0.036217,' existence',0.031980,' political',0.020340,' forms',0.016885,' power',0.016190,' powers',0.014630,' relations',0.013369,' functions',0.011955
38,"me among the powers of the earth, the separate and",' equal',0.030621,5.029,4,' independent',0.212140,' distinct',0.082269,' separate',0.078929,' equal',0.030621,' united',0.019728,' un',0.016723,' subordinate',0.012982,' unequal',0.012898,' exclusive',0.012751,' harmon',0.010526
39,"ng the powers of the earth, the separate and equal",' station',0.002535,8.624,not_in_top10,' powers',0.060283,' rights',0.041275,' power',0.035572,' position',0.031428,' relations',0.029962,' character',0.022468,' duties',0.019860,' interests',0.017877,' relation',0.017745,' status',0.017201
40,"owers of the earth, the separate and equal station",' to',0.016468,5.924,7,' of',0.601885,' which',0.076804,' and',0.060288,"','",0.040702,' in',0.029061,' for',0.016906,' to',0.016468,' with',0.009878,' they',0.007946,'.',0.007895
41,"rs of the earth, the separate and equal station to",' which',0.803875,0.315,1,' which',0.803875,' the',0.025805,' be',0.025616,' each',0.007335,' their',0.005169,' all',0.005142,' themselves',0.003959,' act',0.003947,' those',0.003456,' them',0.002241
42,"the earth, the separate and equal station to which",' the',0.142355,2.812,2,' they',0.290702,' the',0.142355,' it',0.076763,' each',0.058048,' all',0.056296,' their',0.031143,' one',0.027144,' we',0.025637,' these',0.025438,' those',0.023334
43,"earth, the separate and equal station to which the",' Laws',0.000112,13.119,not_in_top10,' two',0.054207,' individual',0.042881,' people',0.037138,' political',0.035058,' other',0.031432,' human',0.022189,' different',0.017586,' whole',0.015880,' one',0.014859,' former',0.013907
44,", the separate and equal station to which the Laws",' of',0.620666,0.688,1,' of',0.620666,' and',0.090073,"','",0.047057,' are',0.031965,' have',0.026278,' which',0.009222,' may',0.006892,' shall',0.006792,' apply',0.006538,' should',0.006141
45,he separate and equal station to which the Laws of,' Nature',0.599071,0.739,1,' Nature',0.599071,' the',0.106167,' nature',0.045077,' God',0.031663,' man',0.011003,' Man',0.010729,' this',0.007774,' mankind',0.004477,' men',0.004187,' all',0.003995
46,rate and equal station to which the Laws of Nature,' and',0.086373,3.533,2,' have',0.145036,' and',0.086373,' are',0.085285,"','",0.078524,' give',0.054226,' assign',0.024044,' entitle',0.022066,' would',0.019785,' belong',0.018282,' apply',0.015673
47, and equal station to which the Laws of Nature and,' of',0.273928,1.868,1,' of',0.273928,' the',0.157856,' Nature',0.089549,' men',0.028135,' all',0.024070,' man',0.023921,' Man',0.021468,' human',0.019843,' their',0.019538,' Men',0.009530
48,d equal station to which the Laws of Nature and of,' Nature',0.203150,2.299,2,' the',0.248945,' Nature',0.203150,' all',0.081397,' man',0.054047,' mankind',0.022245,' men',0.021900,' Man',0.018150,' nature',0.017975,' every',0.014569,' our',0.013541
49, station to which the Laws of Nature and of Nature,"""'s""",0.888454,0.171,1,"""'s""",0.888454,' alone',0.028433,' itself',0.013768,'-',0.007767,"','",0.004321,' and',0.003697,' herself',0.001471,' will',0.001330,' in',0.001310,' are',0.001249
50,tation to which the Laws of Nature and of Nature's,' God',0.006456,7.275,not_in_top10,' own',0.091241,' Nature',0.075703,' laws',0.067876,' nature',0.032442,' Laws',0.016446,' natural',0.015725,' will',0.013942,' creatures',0.011159,' Providence',0.011152,' Creator',0.009014
51,on to which the Laws of Nature and of Nature's God,' entitle',0.301036,1.732,1,' entitle',0.301036,' have',0.133406,' are',0.085295,"','",0.066084,' and',0.041061,' belong',0.017530,' would',0.016479,' give',0.013707,' were',0.011981,' owe',0.011495
52,ich the Laws of Nature and of Nature's God entitle,' them',0.556264,0.846,1,' them',0.556264,' us',0.094147,' the',0.047141,' it',0.046354,' themselves',0.042653,' him',0.035091,' one',0.031730,' each',0.024888,' their',0.013360,' men',0.007522
53,he Laws of Nature and of Nature's God entitle them,"','",0.142865,2.807,3,'.',0.429806,' to',0.189848,"','",0.142865,';',0.047685,"'.""'",0.046726,' in',0.024609,' and',0.010299,' as',0.005788,' by',0.005634,':',0.005031
54,"e Laws of Nature and of Nature's God entitle them,",' a',0.003830,8.028,not_in_top10,' and',0.299588,' as',0.049997,' which',0.047906,' by',0.043647,' so',0.037716,' in',0.035928,' or',0.033768,' to',0.033438,' that',0.024707,' for',0.017563
55,"Laws of Nature and of Nature's God entitle them, a",' decent',0.000096,13.354,not_in_top10,' position',0.045241,' state',0.040066,' mode',0.024567,' station',0.022989,' power',0.021946,' place',0.021270,' State',0.019702,' new',0.018186,' certain',0.016844,' separate',0.014961
56," Nature and of Nature's God entitle them, a decent",' respect',0.009327,6.744,7,' and',0.271317,"','",0.041967,' degree',0.033439,' state',0.013141,' form',0.009672,' place',0.009517,' respect',0.009327,' condition',0.008929,' government',0.008669,' relation',0.008354
57,"and of Nature's God entitle them, a decent respect",' to',0.049523,4.336,6,' for',0.415292,' which',0.106711,' and',0.083876,' of',0.063534,"','",0.055995,' to',0.049523,' towards',0.018642,'ability',0.016398,' in',0.015166,'.',0.010216
58," of Nature's God entitle them, a decent respect to",' the',0.124563,3.005,2,' which',0.402147,' the',0.124563,' their',0.075716,' all',0.042767,' each',0.041135,' them',0.032867,' be',0.029037,' those',0.027819,' themselves',0.013525,' one',0.009857
59,"Nature's God entitle them, a decent respect to the",' opinions',0.004301,7.861,not_in_top10,' rights',0.067369,' laws',0.022635,' individual',0.016784,' natural',0.013976,' common',0.013701,' dignity',0.011722,' law',0.011479,' human',0.009882,' right',0.009663,' duties',0.009402
60,"God entitle them, a decent respect to the opinions",' of',0.503565,0.990,1,' of',0.503565,' and',0.249953,"','",0.078564,' which',0.069803,' expressed',0.013760,' they',0.009009,' or',0.007817,' that',0.006019,' held',0.004732,' in',0.001801
61," entitle them, a decent respect to the opinions of",' mankind',0.055594,4.169,6,' the',0.212626,' others',0.102352,' those',0.096630,' men',0.092817,' all',0.082443,' mankind',0.055594,' other',0.047261,' their',0.033570,' each',0.018573,' man',0.015308
