Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
11,3.1415926535897932384626433,'83',0.012025,6.378,not_in_top10,'79',0.018999,'89',0.018372,'75',0.017967,'29',0.013099,'77',0.012877,'14',0.012755,'99',0.012666,'.',0.012621,'45',0.012432,'87',0.012394
12,3.141592653589793238462643383,'279',0.004225,7.887,not_in_top10,'14',0.032052,'.',0.029000,'15',0.025070,'12',0.024906,'16',0.024082,'13',0.022439,'19',0.020997,'18',0.020772,'11',0.019395,'25',0.019349
13,3.141592653589793238462643383279,'50',0.001790,9.126,not_in_top10,'07',0.018398,'57',0.018107,'09',0.017557,'55',0.016181,'12',0.015803,'35',0.015462,'28',0.014746,'58',0.014601,'29',0.014590,'08',0.014462
14,3.14159265358979323846264338327950,'28',0.011083,6.496,not_in_top10,'89',0.015583,'79',0.013855,'77',0.013771,'57',0.013342,'34',0.013215,'85',0.012982,'58',0.012607,'87',0.012596,'75',0.012458,'88',0.012252
15,3.1415926535897932384626433832795028,'84',0.007973,6.971,not_in_top10,'57',0.024986,'79',0.015980,'89',0.014872,'59',0.014498,'80',0.014477,'58',0.013660,'88',0.013035,'75',0.012989,'95',0.012832,'53',0.011283
16,3.141592653589793238462643383279502884,'197',0.001392,9.489,not_in_top10,'14',0.027931,'16',0.026297,'15',0.021924,'64',0.020674,'13',0.017919,'35',0.017730,'75',0.017537,'12',0.017509,'25',0.016859,'23',0.016422
17,3.141592653589793238462643383279502884197,'16',0.021138,5.564,1,'16',0.021138,'37',0.020697,'26',0.019775,'35',0.019161,'75',0.018182,'45',0.017986,'15',0.017141,'60',0.017100,'17',0.016586,'27',0.016453
18,3.14159265358979323846264338327950288419716,'93',0.003312,8.238,not_in_top10,'16',0.017033,'55',0.014345,'01',0.014321,'12',0.014122,'17',0.013445,'14',0.013321,'28',0.013277,'79',0.012956,'58',0.012916,'25',0.012865
19,3.1415926535897932384626433832795028841971693,'99',0.022052,5.503,10,'14',0.036485,'75',0.029113,'13',0.028558,'25',0.026152,'17',0.025339,'30',0.024073,'15',0.023980,'26',0.022412,'16',0.022391,'99',0.022052
20,3.141592653589793238462643383279502884197169399,'375',0.001455,9.425,not_in_top10,'59',0.015528,'58',0.015037,'55',0.014773,'79',0.013565,'17',0.013396,'77',0.012575,'75',0.012191,'57',0.011970,'88',0.011950,'28',0.011923
21,3.141592653589793238462643383279502884197169399375,'10',0.002801,8.480,not_in_top10,'8',0.047101,'9',0.034664,'7',0.029711,'6',0.024676,'5',0.017815,'3',0.014299,'4',0.013845,'75',0.011565,'36',0.010920,'77',0.010426
22,14159265358979323846264338327950288419716939937510,'58',0.019590,5.674,3,'57',0.029014,'55',0.020364,'58',0.019590,'75',0.019071,'59',0.018538,'77',0.018105,'65',0.017752,'39',0.017650,'48',0.017233,'79',0.016887
23,15926535897932384626433832795028841971693993751058,'20',0.007656,7.029,not_in_top10,'75',0.018184,'60',0.015323,'16',0.015184,'14',0.014351,'77',0.012271,'79',0.012019,'40',0.011161,'27',0.010952,'57',0.010837,'35',0.010599
24,92653589793238462643383279502884197169399375105820,'97',0.013909,6.168,not_in_top10,'48',0.025787,'37',0.024666,'40',0.022005,'39',0.017995,'28',0.017844,'36',0.017243,'57',0.017048,'35',0.016724,'49',0.016221,'55',0.015361
25,65358979323846264338327950288419716939937510582097,'494',0.000460,11.087,not_in_top10,'75',0.026376,'40',0.024584,'64',0.023485,'99',0.022651,'35',0.021794,'45',0.019307,'25',0.019260,'14',0.018710,'27',0.018338,'16',0.018180
26,58979323846264338327950288419716939937510582097494,'45',0.011230,6.477,not_in_top10,'27',0.027811,'37',0.026201,'64',0.024575,'34',0.024049,'39',0.023595,'26',0.020727,'38',0.020073,'36',0.019922,'16',0.019749,'35',0.019234
27,97932384626433832795028841971693993751058209749445,'92',0.002127,8.877,not_in_top10,'77',0.016903,'75',0.016771,'67',0.015589,'79',0.013694,'36',0.012307,'39',0.012307,'55',0.012250,'45',0.012169,'47',0.011921,'27',0.011918
28,93238462643383279502884197169399375105820974944592,'30',0.051674,4.274,2,'60',0.058787,'30',0.051674,'50',0.044328,'80',0.042752,'12',0.035018,'14',0.030473,'25',0.029102,'10',0.028969,'13',0.026994,'16',0.023662
29,23846264338327950288419716939937510582097494459230,'78',0.008353,6.903,not_in_top10,'57',0.021061,'39',0.020804,'55',0.019206,'49',0.019140,'40',0.019123,'99',0.017362,'75',0.015826,'59',0.015813,'48',0.015431,'65',0.015416
30,84626433832795028841971693993751058209749445923078,'16',0.012356,6.339,9,'49',0.014880,'75',0.014123,'35',0.013388,'40',0.013214,'39',0.012935,'79',0.012776,'57',0.012688,'36',0.012363,'16',0.012356,'55',0.012266
31,62643383279502884197169399375105820974944592307816,'406',0.000543,10.846,not_in_top10,'01',0.018954,'55',0.017416,'16',0.016546,'25',0.015479,'75',0.014498,'36',0.014223,'14',0.012522,'58',0.012435,'35',0.012369,'12',0.012328
32,43383279502884197169399375105820974944592307816406,'286',0.000818,10.256,not_in_top10,'15',0.034239,'16',0.031068,'17',0.030233,'24',0.028739,'35',0.026549,'39',0.024687,'64',0.024335,'22',0.023394,'26',0.023341,'34',0.022514
33,83279502884197169399375105820974944592307816406286,'208',0.001968,8.989,not_in_top10,'15',0.032135,'64',0.029005,'35',0.027422,'16',0.022575,'38',0.021576,'39',0.020491,'33',0.019970,'36',0.019850,'24',0.019822,'14',0.019725
34,79502884197169399375105820974944592307816406286208,'99',0.009492,6.719,not_in_top10,'58',0.019186,'48',0.018798,'28',0.017900,'16',0.017763,'57',0.017299,'14',0.016416,'35',0.016343,'49',0.016131,'12',0.015243,'65',0.015006
35,50288419716939937510582097494459230781640628620899,'86',0.005159,7.599,not_in_top10,'58',0.017764,'55',0.016425,'59',0.015526,'08',0.014124,'57',0.012724,'12',0.012600,'09',0.012591,'77',0.012400,'17',0.012293,'35',0.011414
36,28841971693993751058209749445923078164062862089986,'280',0.001124,9.797,not_in_top10,'01',0.023913,'25',0.020241,'15',0.020135,'16',0.019796,'11',0.019026,'36',0.018638,'30',0.018318,'17',0.017647,'14',0.017146,'33',0.016989
37,41971693993751058209749445923078164062862089986280,'348',0.000887,10.139,not_in_top10,'9',0.055683,'8',0.049000,'7',0.029979,'6',0.023880,'5',0.020375,'57',0.014030,'55',0.013069,'59',0.011499,'58',0.009894,'75',0.009749
38,71693993751058209749445923078164062862089986280348,'25',0.011682,6.420,not_in_top10,'65',0.018591,'14',0.017613,'68',0.017544,'39',0.016605,'75',0.016415,'67',0.016282,'13',0.016142,'16',0.015531,'26',0.015238,'27',0.015068
39,69399375105820974944592307816406286208998628034825,'34',0.009492,6.719,not_in_top10,'59',0.015873,'58',0.015465,'77',0.014884,'57',0.014547,'55',0.014228,'75',0.013554,'60',0.013359,'79',0.013253,'67',0.012925,'27',0.012450
40,39937510582097494459230781640628620899862803482534,'211',0.000406,11.265,not_in_top10,'75',0.018692,'79',0.014625,'99',0.014435,'16',0.013800,'14',0.013462,'65',0.013288,'60',0.013209,'25',0.012841,'77',0.012739,'67',0.012654
41,37510582097494459230781640628620899862803482534211,'70',0.010185,6.617,not_in_top10,'01',0.022690,'48',0.021126,'12',0.017056,'17',0.016722,'49',0.015316,'75',0.015261,'10',0.015118,'58',0.014745,'33',0.014415,'77',0.014366
42,51058209749445923078164062862089986280348253421170,'67',0.013057,6.259,not_in_top10,'48',0.017866,'49',0.017384,'59',0.017034,'40',0.016386,'77',0.016222,'75',0.015489,'55',0.015372,'58',0.015293,'64',0.014660,'35',0.014495
43,05820974944592307816406286208998628034825342117067,'98',0.008140,6.941,not_in_top10,'89',0.020723,'75',0.014457,'16',0.013328,'87',0.012631,'77',0.012585,'14',0.011991,'27',0.011812,'79',0.011669,'17',0.011176,'00',0.010841
44,82097494459230781640628620899862803482534211706798,'214',0.001084,9.849,not_in_top10,'14',0.012097,'55',0.012039,'40',0.011289,'4',0.010678,'25',0.010303,'35',0.010194,'36',0.010055,'58',0.009869,'16',0.009794,'12',0.009568
45,97494459230781640628620899862803482534211706798214,'808',0.000685,10.512,not_in_top10,'01',0.014281,'75',0.014177,'33',0.013863,'28',0.012800,'16',0.012721,'17',0.012671,'29',0.012564,'14',0.012504,'15',0.011928,'25',0.011759
46,94459230781640628620899862803482534211706798214808,'65',0.013936,6.165,not_in_top10,'16',0.018417,'35',0.017859,'48',0.016918,'14',0.016182,'17',0.016052,'27',0.014759,'18',0.014704,'12',0.014696,'49',0.014506,'36',0.014304
47,45923078164062862089986280348253421170679821480865,'13',0.009975,6.647,not_in_top10,'77',0.013527,'16',0.013170,'14',0.012762,'27',0.012377,'89',0.011279,'75',0.011193,'26',0.010955,'60',0.010507,'12',0.010318,'17',0.010250
48,92307816406286208998628034825342117067982148086513,'28',0.010811,6.531,not_in_top10,'16',0.016292,'17',0.014418,'75',0.014154,'77',0.013594,'15',0.013130,'49',0.013032,'25',0.012857,'99',0.012400,'37',0.012392,'29',0.012248
49,30781640628620899862803482534211706798214808651328,'230',0.000632,10.628,not_in_top10,'57',0.018084,'58',0.014307,'59',0.013983,'25',0.013043,'98',0.012942,'55',0.012848,'27',0.012579,'77',0.012071,'99',0.012052,'95',0.011946
50,81640628620899862803482534211706798214808651328230,'6',0.037131,4.751,5,'8',0.055755,'9',0.055495,'7',0.041716,'5',0.037626,'6',0.037131,'4',0.018473,'49',0.015688,'48',0.013250,'65',0.012200,'35',0.011941
51,16406286208998628034825342117067982148086513282306,'64',0.030520,5.034,1,'64',0.030520,'39',0.030133,'34',0.030069,'24',0.029845,'38',0.026679,'37',0.024678,'19',0.023007,'22',0.022993,'33',0.020482,'36',0.018015
52,40628620899862803482534211706798214808651328230664,'709',0.001064,9.876,not_in_top10,'16',0.017860,'14',0.017465,'75',0.013999,'15',0.013585,'60',0.013408,'13',0.013400,'64',0.012549,'17',0.011980,'80',0.011672,'99',0.011372
53,28620899862803482534211706798214808651328230664709,'38',0.012371,6.337,not_in_top10,'17',0.025221,'08',0.020751,'07',0.018847,'35',0.018814,'12',0.017382,'55',0.017330,'18',0.017309,'48',0.017175,'04',0.016387,'45',0.015560
54,62089986280348253421170679821480865132823066470938,'44',0.007613,7.037,not_in_top10,'60',0.015284,'40',0.013490,'75',0.012881,'55',0.012764,'58',0.012334,'16',0.012230,'64',0.012151,'79',0.012050,'67',0.011868,'77',0.011837
55,08998628034825342117067982148086513282306647093844,'60',0.013855,6.173,2,'75',0.017843,'60',0.013855,'89',0.013368,'16',0.013233,'99',0.013112,'67',0.013078,'64',0.012554,'14',0.012025,'15',0.011655,'77',0.011491
56,99862803482534211706798214808651328230664709384460,'95',0.011371,6.458,not_in_top10,'75',0.015427,'39',0.015083,'55',0.014811,'89',0.014642,'65',0.014572,'48',0.014322,'49',0.013707,'40',0.013350,'64',0.013325,'99',0.013153
57,86280348253421170679821480865132823066470938446095,'50',0.009772,6.677,not_in_top10,'27',0.016800,'39',0.016400,'45',0.015717,'14',0.015614,'16',0.014711,'36',0.014512,'60',0.014506,'64',0.014434,'35',0.014420,'67',0.014243
58,28034825342117067982148086513282306647093844609550,'58',0.013491,6.212,6,'27',0.016076,'55',0.014401,'48',0.014312,'89',0.014243,'34',0.013900,'58',0.013491,'65',0.013445,'57',0.013332,'39',0.013274,'47',0.013087
59,03482534211706798214808651328230664709384460955058,'223',0.000285,11.776,not_in_top10,'60',0.016386,'14',0.015236,'16',0.013385,'27',0.012728,'75',0.012663,'40',0.011361,'35',0.010642,'25',0.010595,'67',0.010572,'55',0.010447
60,82534211706798214808651328230664709384460955058223,'17',0.034631,4.852,3,'15',0.041331,'14',0.038306,'17',0.034631,'19',0.032323,'16',0.030865,'18',0.030268,'13',0.029601,'24',0.025873,'29',0.024940,'25',0.024435
61,53421170679821480865132823066470938446095505822317,'25',0.009966,6.649,not_in_top10,'01',0.014687,'14',0.014678,'89',0.012599,'59',0.012566,'09',0.012228,'17',0.012010,'58',0.011828,'16',0.011800,'75',0.011659,'12',0.011589
62,42117067982148086513282306647093844609550582231725,'359',0.000954,10.033,not_in_top10,'77',0.014842,'59',0.014498,'58',0.014455,'55',0.014428,'27',0.014233,'67',0.013709,'60',0.013446,'75',0.013220,'39',0.013046,'48',0.012894
63,17067982148086513282306647093844609550582231725359,'408',0.001393,9.487,not_in_top10,'14',0.024116,'13',0.022630,'09',0.021890,'12',0.020348,'17',0.020060,'08',0.019288,'07',0.017737,'18',0.017614,'27',0.016411,'35',0.014799
64,67982148086513282306647093844609550582231725359408,'128',0.000542,10.848,not_in_top10,'16',0.019317,'14',0.018841,'12',0.017868,'35',0.017579,'34',0.017147,'13',0.017146,'17',0.016456,'60',0.016343,'28',0.016339,'29',0.016271
65,82148086513282306647093844609550582231725359408128,'48',0.017632,5.826,1,'48',0.017632,'60',0.017043,'58',0.016939,'49',0.015817,'59',0.015505,'65',0.015385,'68',0.014988,'64',0.013401,'75',0.013397,'45',0.013327
66,14808651328230664709384460955058223172535940812848,'11',0.008482,6.881,not_in_top10,'60',0.014374,'16',0.013439,'14',0.012466,'27',0.011649,'29',0.011629,'75',0.011626,'80',0.011229,'25',0.011156,'55',0.011000,'35',0.010990
67,80865132823066470938446095505822317253594081284811,'17',0.011802,6.405,not_in_top10,'01',0.019102,'75',0.018424,'67',0.015904,'12',0.015550,'10',0.014699,'55',0.014387,'34',0.014185,'77',0.013860,'33',0.013340,'59',0.013184
68,86513282306647093844609550582231725359408128481117,'450',0.000752,10.376,not_in_top10,'01',0.015491,'14',0.014447,'75',0.013484,'17',0.012379,'59',0.012275,'16',0.012126,'29',0.011957,'89',0.011907,'27',0.011874,'12',0.011831
69,13282306647093844609550582231725359408128481117450,'284',0.000274,11.832,not_in_top10,'8',0.065386,'9',0.058521,'7',0.037550,'6',0.030900,'5',0.024252,'4',0.015031,'48',0.010283,'77',0.010265,'3',0.009580,'59',0.009488
70,82306647093844609550582231725359408128481117450284,'1027',0.000122,13.000,not_in_top10,'64',0.027441,'26',0.025717,'27',0.024541,'35',0.024080,'39',0.022373,'24',0.022135,'37',0.021768,'38',0.020743,'33',0.020612,'23',0.019950
71,66470938446095505822317253594081284811174502841027,'019',0.000497,10.975,not_in_top10,'75',0.015899,'55',0.015063,'45',0.013949,'70',0.013897,'60',0.013698,'40',0.012999,'77',0.012830,'78',0.012697,'99',0.012304,'59',0.012031
72,70938446095505822317253594081284811174502841027019,'385',0.000517,10.917,not_in_top10,'08',0.036228,'09',0.030146,'07',0.028441,'06',0.022102,'05',0.020717,'04',0.019527,'17',0.018867,'12',0.018757,'18',0.017675,'48',0.016767
73,38446095505822317253594081284811174502841027019385,'21',0.002680,8.544,not_in_top10,'27',0.023838,'39',0.023351,'16',0.021325,'64',0.020879,'14',0.019894,'45',0.019775,'35',0.018991,'26',0.018457,'13',0.018072,'60',0.017567
74,44609550582231725359408128481117450284102701938521,'10',0.072092,3.794,4,'01',0.159471,'50',0.078095,'12',0.077304,'10',0.072092,'30',0.066415,'19',0.059064,'00',0.040566,'000',0.019135,'509',0.011836,'128',0.011310
75,60955058223172535940812848111745028410270193852110,'55',0.018366,5.767,7,'59',0.021162,'48',0.021055,'39',0.020928,'49',0.020725,'58',0.018760,'65',0.018706,'55',0.018366,'67',0.018122,'47',0.017607,'64',0.017095
76,95505822317253594081284811174502841027019385211055,'59',0.010284,6.603,not_in_top10,'55',0.014500,'14',0.014421,'75',0.013106,'16',0.012269,'27',0.012230,'40',0.011653,'39',0.011559,'36',0.011491,'35',0.011414,'89',0.011306
77,50582231725359408128481117450284102701938521105559,'64',0.008757,6.835,not_in_top10,'09',0.018463,'08',0.015729,'14',0.013814,'16',0.013134,'01',0.012929,'27',0.012803,'12',0.012462,'17',0.012223,'07',0.012014,'75',0.011695
78,58223172535940812848111745028410270193852110555964,'46',0.004148,7.913,not_in_top10,'16',0.017191,'14',0.016128,'75',0.016010,'15',0.013141,'17',0.012703,'13',0.012585,'25',0.012312,'60',0.012178,'12',0.011818,'29',0.011787
79,22317253594081284811174502841027019385211055596446,'229',0.001223,9.675,not_in_top10,'15',0.028089,'25',0.026640,'30',0.026254,'16',0.022951,'40',0.022589,'24',0.020884,'17',0.020584,'36',0.019783,'11',0.018205,'01',0.018167
80,17253594081284811174502841027019385211055596446229,'48',0.014893,6.069,not_in_top10,'55',0.018490,'12',0.018126,'17',0.018116,'08',0.017868,'01',0.017745,'14',0.017581,'18',0.017225,'13',0.015941,'33',0.015690,'09',0.015643
81,25359408128481117450284102701938521105559644622948,'95',0.008054,6.956,not_in_top10,'60',0.014215,'14',0.012933,'27',0.012770,'80',0.012302,'16',0.012141,'12',0.011954,'25',0.011714,'29',0.011640,'75',0.011602,'24',0.011422
82,35940812848111745028410270193852110555964462294895,'49',0.008522,6.875,not_in_top10,'01',0.017529,'60',0.017290,'45',0.016773,'27',0.016408,'39',0.016388,'14',0.015307,'36',0.015277,'35',0.014735,'64',0.014319,'75',0.014226
83,94081284811174502841027019385211055596446229489549,'30',0.009680,6.691,not_in_top10,'01',0.017962,'12',0.014540,'08',0.013986,'09',0.013839,'55',0.013510,'27',0.012991,'29',0.012807,'59',0.012585,'14',0.012481,'17',0.012385
84,08128481117450284102701938521105559644622948954930,'38',0.013323,6.230,not_in_top10,'55',0.018227,'99',0.017147,'39',0.016963,'59',0.016620,'40',0.015912,'57',0.015819,'60',0.015286,'75',0.014821,'67',0.014717,'45',0.014427
85,12848111745028410270193852110555964462294895493038,'19',0.005946,7.394,not_in_top10,'60',0.013066,'40',0.012806,'39',0.012748,'25',0.012605,'75',0.012566,'55',0.011464,'35',0.011460,'67',0.011357,'37',0.010764,'38',0.010756
86,84811174502841027019385211055596446229489549303819,'644',0.000303,11.687,not_in_top10,'09',0.037947,'08',0.036673,'07',0.027732,'05',0.026746,'04',0.021007,'06',0.019970,'55',0.016213,'01',0.015641,'17',0.015593,'35',0.014432
87,11174502841027019385211055596446229489549303819644,'288',0.002991,8.385,not_in_top10,'64',0.025079,'34',0.024965,'33',0.021577,'24',0.020771,'27',0.019782,'17',0.019395,'23',0.019198,'26',0.018659,'39',0.018518,'37',0.018070
88,74502841027019385211055596446229489549303819644288,'109',0.001429,9.450,not_in_top10,'14',0.018124,'13',0.017444,'27',0.016298,'59',0.015718,'16',0.015133,'48',0.015047,'28',0.015025,'49',0.014499,'29',0.014271,'45',0.013887
89,02841027019385211055596446229489549303819644288109,'75',0.010730,6.542,not_in_top10,'08',0.026231,'09',0.020285,'06',0.018671,'07',0.018245,'48',0.017638,'01',0.017632,'17',0.016411,'18',0.015749,'12',0.015600,'47',0.015502
90,84102701938521105559644622948954930381964428810975,'66',0.006080,7.362,not_in_top10,'27',0.013092,'14',0.012323,'16',0.012115,'35',0.011898,'75',0.011710,'59',0.011691,'89',0.011301,'48',0.011228,'67',0.010899,'64',0.010850
91,10270193852110555964462294895493038196442881097566,'59',0.008839,6.822,not_in_top10,'89',0.014872,'12',0.012596,'14',0.012124,'36',0.011598,'16',0.011572,'75',0.011524,'15',0.011194,'33',0.011174,'29',0.010811,'25',0.010730
92,27019385211055596446229489549303819644288109756659,'33',0.009514,6.716,not_in_top10,'09',0.016350,'08',0.013217,'12',0.011926,'27',0.011880,'60',0.011446,'14',0.011400,'29',0.011349,'01',0.010953,'48',0.010912,'16',0.010781
93,01938521105559644622948954930381964428810975665933,'446',0.000544,10.844,not_in_top10,'75',0.016560,'89',0.015984,'99',0.014036,'27',0.013782,'29',0.013530,'14',0.013419,'60',0.012950,'45',0.012602,'25',0.012442,'16',0.011849
94,38521105559644622948954930381964428810975665933446,'12',0.010412,6.586,not_in_top10,'33',0.027844,'27',0.023709,'15',0.023088,'38',0.022926,'39',0.021688,'24',0.021492,'37',0.021172,'35',0.020063,'64',0.019953,'16',0.019893
95,52110555964462294895493038196442881097566593344612,'84',0.003517,8.152,not_in_top10,'14',0.016209,'16',0.015745,'13',0.015255,'01',0.014717,'17',0.014608,'12',0.014308,'25',0.013486,'27',0.013358,'15',0.013247,'34',0.013242
96,11055596446229489549303819644288109756659334461284,'75',0.022119,5.499,2,'64',0.025727,'75',0.022119,'27',0.022069,'15',0.021680,'14',0.021382,'16',0.020764,'45',0.020404,'25',0.020086,'29',0.020081,'01',0.019270
97,05559644622948954930381964428810975665933446128475,'648',0.001146,9.769,not_in_top10,'14',0.013918,'16',0.013502,'27',0.013458,'75',0.012585,'17',0.011707,'24',0.011442,'67',0.010829,'29',0.010823,'48',0.010730,'15',0.010703
98,59644622948954930381964428810975665933446128475648,'23',0.012858,6.281,not_in_top10,'16',0.020606,'14',0.020086,'13',0.017695,'18',0.017067,'27',0.016971,'45',0.016901,'17',0.016871,'24',0.016595,'26',0.015978,'28',0.015811
99,64462294895493038196442881097566593344612847564823,'378',0.000717,10.446,not_in_top10,'75',0.015329,'99',0.014920,'45',0.014124,'29',0.013957,'27',0.013612,'89',0.013350,'60',0.012896,'14',0.012487,'44',0.012195,'28',0.011953
100,62294895493038196442881097566593344612847564823378,'67',0.016702,5.904,4,'48',0.017455,'27',0.017201,'14',0.016784,'67',0.016702,'68',0.016499,'13',0.016400,'39',0.016350,'45',0.015628,'49',0.015460,'69',0.015427
101,29489549303819644288109756659334461284756482337867,'83',0.005407,7.531,not_in_top10,'89',0.018636,'14',0.012496,'75',0.012302,'16',0.012105,'27',0.011239,'99',0.011184,'15',0.011158,'88',0.010825,'17',0.010771,'29',0.010627
102,48954930381964428810975665933446128475648233786783,'165',0.001710,9.192,not_in_top10,'25',0.037352,'30',0.032129,'14',0.031254,'01',0.029271,'15',0.028589,'12',0.027880,'16',0.027452,'24',0.026736,'60',0.026096,'17',0.025820
103,54930381964428810975665933446128475648233786783165,'27',0.025510,5.293,1,'27',0.025510,'45',0.024015,'75',0.023685,'28',0.021825,'60',0.021613,'99',0.020051,'25',0.020045,'17',0.019577,'26',0.019441,'64',0.018648
104,93038196442881097566593344612847564823378678316527,'12',0.012354,6.339,4,'17',0.013401,'01',0.012910,'27',0.012746,'12',0.012354,'89',0.012293,'88',0.012260,'55',0.012235,'35',0.012154,'59',0.012011,'16',0.011785
105,03819644288109756659334461284756482337867831652712,'019',0.000785,10.315,not_in_top10,'14',0.014283,'59',0.014046,'16',0.013937,'75',0.013810,'25',0.013605,'58',0.013162,'55',0.013119,'17',0.013110,'12',0.012696,'13',0.012511
106,19644288109756659334461284756482337867831652712019,'09',0.023104,5.436,2,'08',0.027936,'09',0.023104,'07',0.022166,'48',0.018626,'05',0.017485,'04',0.016666,'17',0.016566,'55',0.016254,'35',0.015947,'06',0.015864
107,64428810975665933446128475648233786783165271201909,'145',0.000440,11.150,not_in_top10,'8',0.029360,'7',0.020982,'9',0.017353,'5',0.015888,'6',0.015215,'55',0.014452,'08',0.013275,'09',0.012089,'59',0.011841,'25',0.010858
108,28810975665933446128475648233786783165271201909145,'64',0.019879,5.653,9,'45',0.024653,'27',0.023923,'75',0.022363,'39',0.020853,'38',0.020634,'67',0.020559,'26',0.020054,'23',0.019910,'64',0.019879,'28',0.019826
109,81097566593344612847564823378678316527120190914564,'85',0.006488,7.268,not_in_top10,'14',0.015595,'16',0.015280,'75',0.014401,'60',0.013907,'13',0.012830,'15',0.012787,'12',0.012530,'17',0.012437,'45',0.012226,'25',0.012023
110,09756659334461284756482337867831652712019091456485,'669',0.001641,9.251,not_in_top10,'27',0.023990,'45',0.022160,'39',0.020364,'29',0.019433,'28',0.017841,'64',0.017683,'67',0.017625,'75',0.017272,'35',0.017192,'23',0.016762
111,56659334461284756482337867831652712019091456485669,'234',0.000563,10.794,not_in_top10,'12',0.023028,'17',0.018786,'14',0.017767,'18',0.016300,'35',0.015983,'48',0.015908,'16',0.015732,'47',0.015622,'36',0.015568,'27',0.015408
112,59334461284756482337867831652712019091456485669234,'60',0.022001,5.506,6,'75',0.033058,'99',0.030145,'64',0.029710,'45',0.028011,'27',0.023722,'60',0.022001,'22',0.021799,'28',0.021501,'29',0.021491,'26',0.021084
113,33446128475648233786783165271201909145648566923460,'34',0.013067,6.258,not_in_top10,'39',0.015936,'89',0.015444,'64',0.015285,'48',0.015225,'75',0.014944,'99',0.014130,'55',0.014123,'49',0.014075,'33',0.013908,'35',0.013838
114,44612847564823378678316527120190914564856692346034,'86',0.006586,7.246,not_in_top10,'75',0.016884,'99',0.014762,'14',0.013424,'01',0.013257,'12',0.012726,'65',0.012582,'67',0.012524,'60',0.012368,'39',0.012291,'77',0.011667
115,61284756482337867831652712019091456485669234603486,'10',0.016218,5.946,not_in_top10,'01',0.029573,'15',0.029366,'11',0.024717,'14',0.022431,'29',0.021561,'25',0.021465,'33',0.020812,'16',0.019788,'36',0.019513,'30',0.019237
