Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
10,"function calculateFibonacci(n) {
",' ',0.000001,20.207,not_in_top10,'\n',0.999667,'.',0.000096,'\\',0.000016,"','",0.000016,"'""'",0.000016,'-',0.000015,' (',0.000012,':',0.000009,'\n\n',0.000008,"' ""'",0.000007
11,"function calculateFibonacci(n) {
 ",' if',0.000031,14.994,not_in_top10,'\xa0',0.408617,'------------------------',0.066095,'~~',0.037550,'~~~~~~~~~~~~~~~~',0.037196,'------------',0.023026,'ids',0.020236,'ive',0.019982,'________________________________________________________________',0.018739,'0000000000000000',0.014675,'�',0.013182
12,"function calculateFibonacci(n) {
  if",' (',0.707195,0.500,1,' (',0.707195,'(',0.063931,' n',0.033797,' (!',0.027533,' ((',0.026363,' !',0.013242,' ',0.008427,'n',0.006921,' __',0.004950,' f',0.004447
13,"function calculateFibonacci(n) {
  if (",'n',0.446697,1.163,1,'n',0.446697,'is',0.034729,'f',0.028084,'i',0.012646,'this',0.011468,'Math',0.009766,'p',0.009517,'num',0.008005,' !',0.008004,'x',0.006308
14,"function calculateFibonacci(n) {
  if (n",' <=',0.055093,4.182,4,' <',0.293287,' >',0.205867,' ==',0.119641,' <=',0.055093,'>',0.040359,' >=',0.036565,' -',0.034733,'<',0.032562,'==',0.016081,' %',0.014885
15,"function calculateFibonacci(n) {
  if (n <=",' 1',0.102226,3.290,2,' 0',0.235235,' 1',0.102226,' 2',0.033655,' n',0.027050,' 3',0.025487,' -',0.023658,' 10',0.021766,' 100',0.016804,' 5',0.014486,' f',0.012909
16,"function calculateFibonacci(n) {
  if (n <= 1",')',0.507734,0.978,1,')',0.507734,' ||',0.172179,' &&',0.108733,' )',0.079391,'){',0.055660,'.',0.014192,'):',0.007041,');',0.003081,' and',0.002724,' +',0.002494
17,"function calculateFibonacci(n) {
  if (n <= 1)",' {',0.327425,1.611,1,' {',0.327425,' return',0.309926,' ',0.069230,' n',0.019834,' break',0.019445,'\n',0.012409,' //',0.006960,' for',0.005415,' throw',0.005015,' then',0.004749
18,"function calculateFibonacci(n) {
  if (n <= 1) {",'\n',0.268482,1.897,1,'\n',0.268482,' return',0.194445,' ',0.125543,' n',0.028208,' \xa0',0.018296,' //',0.017960,' if',0.014537,' break',0.009482,' }',0.009179,' for',0.008043
19,"function calculateFibonacci(n) {
  if (n <= 1) {
",' ',0.000027,15.188,7,'\n',0.999410,'.',0.000117,"' ""'",0.000030,'\xa0',0.000030,"','",0.000030,' (',0.000028,' ',0.000027,' .',0.000020,'\n\n',0.000020,' -',0.000014
20,"function calculateFibonacci(n) {
  if (n <= 1) {
 ",' ',0.006990,7.160,not_in_top10,' return',0.281097,' }',0.038192,' for',0.031764,' if',0.019616,' cout',0.016668,' n',0.014982,' =',0.014579,' *',0.014563,' //',0.013154,' f',0.010876
21,"unction calculateFibonacci(n) {
  if (n <= 1) {
  ",' ',0.009034,6.790,10,' return',0.321849,' }',0.049604,' for',0.026712,' =',0.014658,' //',0.012332,'\xa0',0.010194,' if',0.009977,' n',0.009697,' set',0.009162,' ',0.009034
22,"nction calculateFibonacci(n) {
  if (n <= 1) {
   ",' return',0.258216,1.953,1,' return',0.258216,' }',0.090840,'\xa0',0.035579,' ',0.019465,' =',0.016056,'return',0.015429,' //',0.013607,'}',0.011920,' for',0.008540,' *',0.007442
23,"calculateFibonacci(n) {
  if (n <= 1) {
    return",' n',0.140579,2.831,2,' 0',0.152809,' n',0.140579,' -',0.084561,' 1',0.075161,' (',0.073668,' ',0.026747,' Math',0.023120,' f',0.014993,' ;',0.013694,' true',0.011624
24,"lculateFibonacci(n) {
  if (n <= 1) {
    return n",';',0.518784,0.947,1,';',0.518784,' +',0.121041,' -',0.090614,' *',0.075030,'\n',0.032972,' /',0.022783,'+',0.011856,'.',0.011159,' ;',0.010986,'-',0.009996
25,"culateFibonacci(n) {
  if (n <= 1) {
    return n;",'\n',0.853685,0.228,1,'\n',0.853685,' ',0.055993,' }',0.043031,' //',0.010248,' else',0.003724,' \xa0',0.002779,' +',0.001309,' n',0.001290,'\n\n',0.001267,' break',0.001096
26,"ulateFibonacci(n) {
  if (n <= 1) {
    return n;
",' ',0.000249,11.973,2,'\n',0.998561,' ',0.000249,'}',0.000097,'.',0.000092,' -',0.000072,' }',0.000070,'\xa0',0.000053,' (',0.000046,"','",0.000041,'\n\n',0.000035
27,"lateFibonacci(n) {
  if (n <= 1) {
    return n;
 ",' }',0.739187,0.436,1,' }',0.739187,' ',0.083717,'\n',0.082829,'}',0.008963,' return',0.007318,' else',0.005785,' if',0.003894,' //',0.002780,' n',0.002448,' +',0.002287
28,"teFibonacci(n) {
  if (n <= 1) {
    return n;
  }",'\n',0.452812,1.143,1,'\n',0.452812,' else',0.401573,' ',0.072010,' if',0.011896,' }',0.006233,' return',0.004189,' for',0.003358,' n',0.003192,'else',0.002979,' //',0.002780
29,"eFibonacci(n) {
  if (n <= 1) {
    return n;
  }
",' ',0.000367,11.413,3,'\n',0.996119,'}',0.001267,' ',0.000367,'\\',0.000265,'\xa0',0.000105,'.',0.000073,'return',0.000071,' }',0.000061,'};',0.000060,'//',0.000057
30,"Fibonacci(n) {
  if (n <= 1) {
    return n;
  }
 ",' ',0.123908,3.013,3,' }',0.218489,'\n',0.203472,' ',0.123908,' return',0.092948,' if',0.040993,' else',0.029852,' n',0.017532,' for',0.012479,' //',0.007814,' int',0.005490
31,"ibonacci(n) {
  if (n <= 1) {
    return n;
  }
  ",'\n',0.045629,4.454,5,' return',0.313944,' }',0.190953,' if',0.053251,' ',0.049119,'\n',0.045629,' for',0.023716,' n',0.017371,' //',0.008679,' else',0.008049,' while',0.007735
32,"bonacci(n) {
  if (n <= 1) {
    return n;
  }
  
",' ',0.000308,11.666,not_in_top10,'\n',0.895989,'}',0.051851,'return',0.009948,'};',0.003096,'for',0.002978,'\\',0.002160,'if',0.001686,'case',0.001246,'.',0.001166,'//',0.000974
33,"onacci(n) {
  if (n <= 1) {
    return n;
  }
  
 ",' let',0.001374,9.507,not_in_top10,' return',0.317526,' }',0.135262,'\n',0.064912,' if',0.050944,' ',0.048610,' for',0.031033,' n',0.019055,' //',0.009054,' else',0.008065,' var',0.007137
34,"ci(n) {
  if (n <= 1) {
    return n;
  }
  
  let",' a',0.006704,7.221,not_in_top10,' n',0.069214,' f',0.063646,' x',0.048598,' fib',0.034215,' (',0.023686,' g',0.018575,' t',0.018186,' m',0.017313,' s',0.016523,' i',0.016088
35,"(n) {
  if (n <= 1) {
    return n;
  }
  
  let a",' =',0.819990,0.286,1,' =',0.819990,'_',0.016909,"','",0.013551,'1',0.010595,' :',0.008428,'=',0.006323,' :=',0.004998,':',0.004247,' b',0.003997,'i',0.003454
36,") {
  if (n <= 1) {
    return n;
  }
  
  let a =",' 0',0.052057,4.264,1,' 0',0.052057,' a',0.050707,' n',0.048317,' 1',0.043752,' f',0.041695,' (',0.038774,' Math',0.032013,' new',0.023090,' fib',0.020952,' Fib',0.017916
37,"{
  if (n <= 1) {
    return n;
  }
  
  let a = 0",';',0.642291,0.639,1,';',0.642291,'.',0.101577,' ;',0.080380,"','",0.021003,'\n',0.014822,'x',0.012605,' ?',0.010349,' *',0.008037,':',0.006613,' &&',0.005433
38,"
  if (n <= 1) {
    return n;
  }
  
  let a = 0;",'\n',0.760885,0.394,1,'\n',0.760885,' ',0.113695,' a',0.018670,' let',0.011814,' //',0.010656,' \xa0',0.006616,' for',0.006560,' n',0.005449,' if',0.003981,' while',0.003015
39,"  if (n <= 1) {
    return n;
  }
  
  let a = 0;
",' ',0.065547,3.931,2,'\n',0.873595,' ',0.065547,' for',0.007244,'for',0.006073,' let',0.005217,'\\',0.003343,'\xa0',0.003321,'let',0.002830,'\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0',0.002630,' a',0.001564
40," if (n <= 1) {
    return n;
  }
  
  let a = 0;
 ",' let',0.036085,4.792,6,' ',0.346325,' for',0.112876,' a',0.099367,'\n',0.077466,' if',0.043998,' let',0.036085,' n',0.013345,' while',0.012225,' \xa0',0.010634,' }',0.009157
41,"(n <= 1) {
    return n;
  }
  
  let a = 0;
  let",' b',0.834278,0.261,1,' b',0.834278,' a',0.021672,' n',0.015030,' c',0.010097,' f',0.009165,' x',0.007130,' g',0.005330,' j',0.004960,' s',0.004425,' d',0.002988
42," <= 1) {
    return n;
  }
  
  let a = 0;
  let b",' =',0.962754,0.055,1,' =',0.962754,' :',0.003706,';',0.003507,'1',0.003220,':',0.001977,' ;',0.001223,"','",0.001211,'n',0.001182,'b',0.001053,'s',0.000843
43,"= 1) {
    return n;
  }
  
  let a = 0;
  let b =",' 1',0.237016,2.077,2,' 0',0.339437,' 1',0.237016,' a',0.084755,' n',0.064210,' b',0.025879,' (',0.022117,' -',0.017150,' 2',0.015902,' f',0.014259,' 3',0.008769
44,"1) {
    return n;
  }
  
  let a = 0;
  let b = 1",';',0.947484,0.078,1,';',0.947484,'.',0.015435,' +',0.006752,' ;',0.003281,' -',0.002442,"','",0.002286,'*',0.001695,':',0.001669,' *',0.001175,'/',0.001030
45,") {
    return n;
  }
  
  let a = 0;
  let b = 1;",'\n',0.943388,0.084,1,'\n',0.943388,' ',0.029246,' //',0.005822,' \xa0',0.002010,' let',0.001473,'\n\n',0.000806,' /*',0.000640,' if',0.000634,' for',0.000617,' (',0.000557
46," {
    return n;
  }
  
  let a = 0;
  let b = 1;
",' ',0.194923,2.359,2,'\n',0.674538,' ',0.194923,' let',0.027895,'for',0.011900,' for',0.011367,'let',0.008068,'\xa0',0.007133,'\\',0.003744,' a',0.002400,'\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0',0.002283
47,"{
    return n;
  }
  
  let a = 0;
  let b = 1;
 ",' let',0.229306,2.125,1,' let',0.229306,' for',0.121538,' ',0.102877,'\n',0.087489,' a',0.059645,' if',0.045732,' b',0.038017,' while',0.026812,' }',0.013516,' return',0.010630
48,"  return n;
  }
  
  let a = 0;
  let b = 1;
  let",' temp',0.000190,12.360,not_in_top10,' c',0.802757,' d',0.029498,' a',0.015376,' x',0.012071,' f',0.010455,' r',0.007367,' n',0.006298,' g',0.005475,' e',0.005059,' i',0.004929
49,"urn n;
  }
  
  let a = 0;
  let b = 1;
  let temp",';',0.008192,6.932,3,' =',0.858041,'_',0.013266,';',0.008192,'1',0.007983,'B',0.006348,'=',0.006260,'F',0.003794,"','",0.003553,'2',0.003015,' ;',0.001536
50,"rn n;
  }
  
  let a = 0;
  let b = 1;
  let temp;",'\n',0.857029,0.223,1,'\n',0.857029,' ',0.064020,' temp',0.011999,' //',0.005527,' \xa0',0.004172,' let',0.002616,' if',0.002117,' a',0.001735,'\n\xa0',0.001567,' b',0.001526
51,"n n;
  }
  
  let a = 0;
  let b = 1;
  let temp;
",' ',0.353227,1.501,2,'\n',0.504887,' ',0.353227,' let',0.032941,'\xa0',0.010406,'\xa0\xa0',0.006279,'\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0',0.004546,'let',0.004220,' for',0.004139,'\xa0\xa0\xa0',0.004084,' \xa0',0.003334
52," n;
  }
  
  let a = 0;
  let b = 1;
  let temp;
 ",' ',0.361209,1.469,1,' ',0.361209,' temp',0.100022,'\n',0.068553,' let',0.066265,' for',0.041597,' if',0.035897,' }',0.017700,' while',0.016205,' a',0.008435,' b',0.007319
53,"n;
  }
  
  let a = 0;
  let b = 1;
  let temp;
  ",'\n',0.068609,3.865,6,' ',0.161424,' temp',0.101909,' for',0.080374,' if',0.072171,' let',0.068811,'\n',0.068609,' while',0.027396,' }',0.019265,' return',0.016156,' b',0.012982
54,";
  }
  
  let a = 0;
  let b = 1;
  let temp;
  
",' ',0.080557,3.634,2,'\n',0.374803,' ',0.080557,'for',0.047768,'let',0.040050,'if',0.033558,' let',0.025435,'}',0.020959,'assert',0.015302,' for',0.012975,' if',0.012965
55,"
  }
  
  let a = 0;
  let b = 1;
  let temp;
  
 ",' for',0.102845,3.281,2,' let',0.111196,' for',0.102845,' if',0.086065,' temp',0.085879,' ',0.081558,' while',0.031092,'\n',0.026504,' return',0.024980,' b',0.014045,' a',0.012284
56,"
  
  let a = 0;
  let b = 1;
  let temp;
  
  for",' (',0.541080,0.886,1,' (',0.541080,' i',0.106464,' b',0.047209,' n',0.026843,' _',0.018014,' x',0.017911,' {',0.011131,' f',0.010452,' k',0.009842,' a',0.008372
57," 
  let a = 0;
  let b = 1;
  let temp;
  
  for (",'let',0.092089,3.441,3,'a',0.240760,'i',0.202815,'let',0.092089,' let',0.068252,'b',0.031565,'n',0.030783,'temp',0.030279,'x',0.016944,'var',0.013232,'f',0.009982
58," let a = 0;
  let b = 1;
  let temp;
  
  for (let",' i',0.197833,2.338,1,' i',0.197833,' b',0.139007,' temp',0.083476,' n',0.066981,' x',0.055752,' a',0.046445,' c',0.027632,' f',0.025135,' e',0.017156,' t',0.013822
59,"et a = 0;
  let b = 1;
  let temp;
  
  for (let i",' =',0.840464,0.251,1,' =',0.840464,'=',0.067282,' in',0.053360,"','",0.005306,' of',0.005294,' :',0.003531,':',0.002957,' :=',0.002690,'=-',0.000961,';',0.000929
60," a = 0;
  let b = 1;
  let temp;
  
  for (let i =",' 2',0.006507,7.264,6,' 0',0.749125,' 1',0.135142,' a',0.013677,' -',0.011829,' n',0.010892,' 2',0.006507,' b',0.005432,' 3',0.003755,' temp',0.003376,' i',0.001972
61," = 0;
  let b = 1;
  let temp;
  
  for (let i = 2",';',0.900427,0.151,1,';',0.900427,' ;',0.028877,"','",0.015089,':',0.011434,'.',0.008375,' -',0.006394,' :',0.004314,'*',0.003483,'..',0.002464,';;',0.001496
62,"= 0;
  let b = 1;
  let temp;
  
  for (let i = 2;",' i',0.930356,0.104,1,' i',0.930356,'i',0.010746,' ',0.008470,' j',0.005463,' ++',0.004010,' a',0.003860,' ii',0.003120,' n',0.002907,' b',0.001666,' 0',0.001520
63,"0;
  let b = 1;
  let temp;
  
  for (let i = 2; i",' <=',0.184951,2.435,2,' <',0.690078,' <=',0.184951,' >=',0.044717,'<',0.021205,' >',0.014919,' !=',0.012847,';',0.006877,' =',0.003878,' ==',0.003329,' !',0.002524
64,"  let b = 1;
  let temp;
  
  for (let i = 2; i <=",' n',0.257694,1.956,1,' n',0.257694,' 1',0.120242,' 2',0.081443,' 0',0.065189,' 3',0.065039,' b',0.033768,' 5',0.020171,' 4',0.018341,' temp',0.017329,' 10',0.016032
65,"let b = 1;
  let temp;
  
  for (let i = 2; i <= n",';',0.932706,0.101,1,';',0.932706,' -',0.018149,' ;',0.007343,'-',0.005992,'.',0.004271,' &&',0.003634,' *',0.003086,'--',0.002508,'*',0.002262,' +',0.002169
66,"et b = 1;
  let temp;
  
  for (let i = 2; i <= n;",' i',0.805872,0.311,1,' i',0.805872,' ++',0.176488,'i',0.003125,' ii',0.002723,' j',0.001650,' ',0.001559,' )',0.001017,' n',0.000502,' -',0.000444,' I',0.000346
67," b = 1;
  let temp;
  
  for (let i = 2; i <= n; i",'++)',0.714963,0.484,1,'++)',0.714963,'++',0.155072,' ++',0.088450,' +=',0.026917,'--',0.006288,'+=',0.006047,' --',0.000673,' -=',0.000473,' =',0.000337,'++;',0.000129
68,"= 1;
  let temp;
  
  for (let i = 2; i <= n; i++)",' {',0.688903,0.538,1,' {',0.688903,' ',0.103777,'\n',0.066061,' let',0.017964,' temp',0.016660,' a',0.015002,' if',0.012774,' b',0.011232,' \xa0',0.003045,' n',0.002673
69,"1;
  let temp;
  
  for (let i = 2; i <= n; i++) {",'\n',0.472102,1.083,1,'\n',0.472102,' ',0.273989,' temp',0.108082,' let',0.021881,' if',0.020305,' a',0.012601,' \xa0',0.010305,' for',0.004207,' b',0.004001,'\xa0',0.002877
70,";
  let temp;
  
  for (let i = 2; i <= n; i++) {
",' ',0.188366,2.408,2,'\n',0.758803,' ',0.188366,'\xa0',0.006274,'\\',0.003382,'\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0',0.003063,'.',0.002409,' .',0.001547,' (',0.001488,' -',0.001434,'\xa0\xa0\xa0\xa0',0.001431
71,"
  let temp;
  
  for (let i = 2; i <= n; i++) {
 ",' ',0.728437,0.457,1,' ',0.728437,' temp',0.063663,' let',0.016840,' if',0.014535,'\n',0.008646,' a',0.008256,' }',0.008082,' b',0.006833,' for',0.006732,' \xa0',0.005878
72,"  let temp;
  
  for (let i = 2; i <= n; i++) {
  ",' ',0.451973,1.146,1,' ',0.451973,' temp',0.186298,' if',0.040226,' b',0.032588,' a',0.026744,' for',0.022396,' let',0.017292,' n',0.008070,' }',0.007481,' i',0.005330
73," let temp;
  
  for (let i = 2; i <= n; i++) {
   ",' temp',0.290681,1.782,1,' temp',0.290681,' ',0.124836,' if',0.080494,' b',0.073921,' for',0.052568,' a',0.051086,' let',0.024385,' return',0.011300,' n',0.010069,' while',0.009102
74,"temp;
  
  for (let i = 2; i <= n; i++) {
    temp",' =',0.786474,0.347,1,' =',0.786474,' +=',0.063607,'[',0.027062,'=',0.022189,'.',0.011110,' +',0.006253,';',0.005109,' ++',0.004781,' *',0.004591,' -=',0.004576
75,"mp;
  
  for (let i = 2; i <= n; i++) {
    temp =",' a',0.123521,3.017,1,' a',0.123521,' temp',0.103198,' (',0.075761,' n',0.057989,' i',0.040006,' 0',0.035744,' ',0.025026,' b',0.024066,' 1',0.021365,' new',0.020769
76,";
  
  for (let i = 2; i <= n; i++) {
    temp = a",' +',0.188321,2.409,2,'[',0.489904,' +',0.188321,';',0.082979,' *',0.044070,'.',0.043433,' -',0.027338,'+',0.019659,' [',0.009456,'*',0.007955,' /',0.007734
77,"  
  for (let i = 2; i <= n; i++) {
    temp = a +",' b',0.450339,1.151,1,' b',0.450339,' i',0.255511,' 1',0.052480,' a',0.042067,' (',0.025922,' n',0.018471,' temp',0.016122,' ',0.009570,' 2',0.009059,' j',0.008828
78,"
  for (let i = 2; i <= n; i++) {
    temp = a + b",';',0.636454,0.652,1,';',0.636454,' +',0.200614,' -',0.048135,' *',0.034278,' ;',0.016729,'.',0.009150,' /',0.006418,'[',0.006012,"','",0.002926,'*',0.002018
79,"  for (let i = 2; i <= n; i++) {
    temp = a + b;",'\n',0.880777,0.183,1,'\n',0.880777,' ',0.094391,' }',0.004168,' \xa0',0.002851,' //',0.001144,' if',0.000962,' (',0.000907,' i',0.000871,'\n\xa0',0.000615,' break',0.000552
80," for (let i = 2; i <= n; i++) {
    temp = a + b;
",' ',0.342392,1.546,2,'\n',0.633166,' ',0.342392,' }',0.003117,'\xa0',0.002279,' \xa0',0.001106,' -',0.000854,' let',0.000751,' |',0.000736,'\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0',0.000697,' if',0.000626
81,"for (let i = 2; i <= n; i++) {
    temp = a + b;
 ",' ',0.717663,0.479,1,' ',0.717663,' }',0.124328,'\n',0.048620,' temp',0.011628,' if',0.008629,' \xa0',0.006741,' let',0.004572,' while',0.003144,'\xa0',0.002830,' else',0.002005
82,"or (let i = 2; i <= n; i++) {
    temp = a + b;
  ",' ',0.303270,1.721,1,' ',0.303270,' }',0.216203,' temp',0.121463,' if',0.053906,' b',0.037374,'\n',0.033322,' for',0.019758,' while',0.013173,' return',0.012342,' let',0.011606
83,"r (let i = 2; i <= n; i++) {
    temp = a + b;
   ",' a',0.021608,5.532,9,' temp',0.239826,' }',0.146144,' if',0.098776,' b',0.074797,' ',0.065475,' for',0.044758,' return',0.026748,' let',0.021765,' a',0.021608,' while',0.020769
84,"(let i = 2; i <= n; i++) {
    temp = a + b;
    a",' =',0.443202,1.174,1,' =',0.443202,' +',0.138034,' +=',0.080688,'[',0.059801,'.',0.052919,'++;',0.017523,' *',0.014718,' ++',0.013186,'+',0.012363,' -',0.012282
85,"et i = 2; i <= n; i++) {
    temp = a + b;
    a =",' b',0.123992,3.012,3,' a',0.214806,' temp',0.204376,' b',0.123992,' (',0.074009,' i',0.043308,' 0',0.033652,' ',0.023649,' 1',0.022465,' n',0.017143,' -',0.013814
86," i = 2; i <= n; i++) {
    temp = a + b;
    a = b",';',0.315646,1.664,2,' +',0.363797,';',0.315646,' -',0.211904,' *',0.027379,' ;',0.015093,' /',0.006934,'.',0.005594,'+',0.005367,' =',0.002739,' |',0.002674
87,"i = 2; i <= n; i++) {
    temp = a + b;
    a = b;",'\n',0.907658,0.140,1,'\n',0.907658,' ',0.069956,' }',0.003772,' \xa0',0.001876,' (',0.001076,' //',0.000920,' c',0.000593,'\xa0',0.000519,' i',0.000515,' break',0.000483
88," = 2; i <= n; i++) {
    temp = a + b;
    a = b;
",' ',0.203864,2.294,2,'\n',0.781943,' ',0.203864,' }',0.001755,'\xa0',0.001569,'\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0',0.000522,' -',0.000518,' \xa0',0.000486,' |',0.000386,' (',0.000302,'\xa0\xa0',0.000297
89,"= 2; i <= n; i++) {
    temp = a + b;
    a = b;
 ",' ',0.941554,0.087,1,' ',0.941554,' }',0.025103,'\n',0.005476,'\xa0',0.002530,' \xa0',0.002306,' t',0.000780,' l',0.000737,' b',0.000737,' x',0.000669,' i',0.000650
90," 2; i <= n; i++) {
    temp = a + b;
    a = b;
  ",' ',0.438420,1.190,1,' ',0.438420,' a',0.121988,' temp',0.091514,' }',0.068388,' b',0.053290,' if',0.023309,'\n',0.010759,' c',0.007198,' for',0.006926,' while',0.006516
91,"2; i <= n; i++) {
    temp = a + b;
    a = b;
   ",' b',0.227288,2.137,2,' temp',0.228580,' b',0.227288,' a',0.151874,' }',0.053288,' if',0.051725,' ',0.031801,' for',0.027653,' return',0.014752,' while',0.011018,' i',0.006388
92," i <= n; i++) {
    temp = a + b;
    a = b;
    b",' =',0.962963,0.054,1,' =',0.962963,'.',0.006297,' +=',0.002689,';',0.002016,'[',0.001556,'=',0.001482,' *',0.001276,' +',0.001207,'_',0.001030,' |',0.000813
93," <= n; i++) {
    temp = a + b;
    a = b;
    b =",' temp',0.286721,1.802,1,' temp',0.286721,' a',0.231957,' b',0.127067,' 1',0.049267,' 0',0.040531,' (',0.028442,' c',0.023316,' i',0.015277,' 2',0.012428,' n',0.011685
94,"; i++) {
    temp = a + b;
    a = b;
    b = temp",';',0.393586,1.345,2,' +',0.420164,';',0.393586,' -',0.062708,' *',0.026204,' /',0.016555,'+',0.011600,'.',0.008552,' ;',0.007345,' |',0.002771,' =',0.002596
95," i++) {
    temp = a + b;
    a = b;
    b = temp;",'\n',0.949597,0.075,1,'\n',0.949597,' ',0.036293,' }',0.003867,' //',0.000642,' (',0.000637,' \xa0',0.000543,' break',0.000466,' c',0.000352,'\xa0',0.000322,'<|endoftext|>',0.000220
96,"i++) {
    temp = a + b;
    a = b;
    b = temp;
",' ',0.240747,2.054,2,'\n',0.744309,' ',0.240747,'\xa0',0.001870,' }',0.001861,'\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0',0.000461,' -',0.000437,'}',0.000424,' \xa0',0.000407,' |',0.000369,' (',0.000323
97,"++) {
    temp = a + b;
    a = b;
    b = temp;
 ",' }',0.008991,6.797,2,' ',0.973825,' }',0.008991,'\n',0.004866,'\xa0',0.003554,' \xa0',0.001524,' *',0.000436,' l',0.000276,' .',0.000271,' ;',0.000269,' t',0.000262
98,") {
    temp = a + b;
    a = b;
    b = temp;
  }",'\n',0.875991,0.191,1,'\n',0.875991,' else',0.036594,' ',0.033759,' for',0.007017,' if',0.004874,' return',0.004744,' }',0.003823,' a',0.003575,' while',0.002894,' \xa0',0.001176
99," {
    temp = a + b;
    a = b;
    b = temp;
  }
",' ',0.013929,6.166,2,'\n',0.942655,' ',0.013929,'}',0.006742,'for',0.004402,'let',0.002788,'return',0.002057,'\xa0',0.001346,'if',0.001321,'\\',0.001030,'assert',0.000786
100,"{
    temp = a + b;
    a = b;
    b = temp;
  }
 ",' ',0.683690,0.549,1,' ',0.683690,'\n',0.161402,' }',0.043194,'\xa0',0.006395,' \xa0',0.004898,' return',0.003796,' if',0.003068,' n',0.002617,' temp',0.001900,' l',0.001736
101,"
    temp = a + b;
    a = b;
    b = temp;
  }
  ",'\n',0.286350,1.804,1,'\n',0.286350,' return',0.106069,' }',0.093082,' for',0.069630,' ',0.068668,' temp',0.046940,' if',0.045569,' a',0.027134,' let',0.021956,' b',0.021259
102,"    temp = a + b;
    a = b;
    b = temp;
  }
  
",' ',0.000193,12.337,not_in_top10,'\n',0.953002,'}',0.023677,'for',0.003406,'return',0.002808,'if',0.000780,'b',0.000608,' }',0.000600,'};',0.000570,'let',0.000499,'}}',0.000404
103,"   temp = a + b;
    a = b;
    b = temp;
  }
  
 ",' return',0.108519,3.204,2,' for',0.132061,' return',0.108519,' temp',0.076942,' if',0.075226,' }',0.069557,' let',0.046449,' ',0.040666,' b',0.039778,'\n',0.036574,' a',0.030703
